Timestamp,PPI
290129.5373324,725
290129.5374077,741
290129.5374668,784
290134.6943806,711
290134.6945634,868
290134.6945745,917
290134.6946388,957
290134.6947415,959
290139.6873246,893
290139.6874106,963
290139.6874872,816
290139.6875219,842
290139.687533,877
290139.6876235,790
290144.6285616,726
290144.6287492,764
290144.6288358,823
290144.6289337,697
290144.6289934,783
290144.6290751,808
290144.6291549,800
290149.5172667,781
290149.517527,773
290149.5175383,773
290149.5176475,832
290149.5177221,786
290149.5178013,781
290154.5907489,785
290154.5908646,1014
290154.5910052,659
290154.5910235,896
290154.5911417,1670
290159.6873601,857
290159.6874242,780
290159.687499,735
290159.6875215,816
290159.6876372,810
290159.6877081,790
290164.5464653,896
290164.5466598,953
290164.5468249,871
290164.5468358,1135
290164.5469563,1469
290169.7323718,818
290169.7324717,781
290169.7325299,768
290169.7326031,790
290169.7327164,803
290169.7327811,761
290174.6065101,747
290174.6066251,816
290174.6067066,758
290174.6068044,755
290174.6069225,705
290174.6070285,699
290174.6071373,494
290174.6071799,545
290179.7061072,535
290179.706227,774
290179.7063531,779
290179.7064871,751
290179.7065961,1002
290179.7066607,483
290184.4684155,754
290184.4685737,739
290184.4686303,785
290184.4686873,801
290184.4687972,768
290184.4688501,796
290184.468928,779
290189.6057398,796
290189.6058403,785
290189.6058662,746
290189.6058913,861
290189.605956,775
290189.6059922,817
290194.6401667,842
290194.6403217,895
290194.6404285,782
290194.6405155,863
290194.6406256,761
290194.6406365,765
290199.5674553,778
290199.5676264,809
290199.5677093,829
290199.5677503,795
290199.5678553,1071
290199.5679545,603
290204.7217579,880
290204.7218819,805
290204.7219718,811
290204.7220297,649
290204.7220889,600
290204.7221461,478
290204.7221999,771
290209.5518759,789
290209.5520089,811
290209.5521588,829
290209.5522728,774
290209.5523857,780
290209.5524963,806
290214.6921449,812
290214.6922576,714
290214.6924248,1598
290214.6925307,779
290214.692647,948
290219.5143925,1389
290219.5145194,892
290219.5146446,1392
290224.7063605,1023
290224.7065404,1178
290224.7066172,708
290224.7067482,729
290224.7068179,797
290224.7069631,845
290224.7070052,533
290224.7070566,930
290229.5932074,1925
290229.593352,1391
290229.5934511,1668
290234.6847592,920
290234.6849206,968
290234.6849979,830
290234.685097,1118
290234.6851042,406
290234.6851954,668
290239.4314411,726
290239.4315986,768
290239.4316392,852
290239.4316652,848
290239.4316935,900
290239.4317278,964
290244.5396979,994
290244.539865,982
290244.5399164,882
290244.5400077,886
290244.5400855,895
290244.5400967,797
290249.6979533,785
290249.697966,951
290249.6980743,746
290249.6981872,865
290249.6981953,892
290254.5197427,870
290254.5199897,855
290254.5200046,891
290254.5201277,828
290254.5202245,1122
290254.5203323,615
290259.6571736,831
290259.6572909,1075
290259.6573663,506
290259.6574421,825
290259.6575499,814
290259.6576381,969
290264.5444352,854
290264.5445527,922
290264.5445636,718
290264.5446492,668
290264.544746,698
290264.5448001,691
290269.6467621,823
290269.6468717,1059
290269.6469625,1052
290269.6470523,937
290269.6471028,1009
290274.4163251,1052
290274.4164333,1070
290274.4165572,1076
290274.4166088,1020
290274.4167182,966
290279.5505417,940
290279.5506344,960
290279.5507511,970
290279.5508427,942
290279.5509614,930
290279.551033,878
290284.6985373,1721
290284.6986269,2016
290284.6987226,831
290289.6886031,895
290289.6886748,845
290289.6887446,858
290289.6888038,896
290289.6888751,870
290289.688931,831
290289.6889915,764
290294.6701848,759
290294.6702885,769
290294.6703645,838
290294.6704208,941
290294.6704784,915
290299.5254718,886
290299.5256155,919
290299.5256561,961
290299.5257205,972
290299.5257676,854
290299.525822,829
290304.6231726,878
290304.6232824,932
290304.6233595,999
290304.6234353,953
290304.6235441,854
290309.7651643,887
290309.765284,979
290309.7653459,999
290309.7654048,923
290309.7654588,800
290309.7655086,615
290314.6196589,803
290314.6197942,707
290314.6198563,686
290314.6199311,732
290314.6199644,788
290314.6200029,1024
290319.5595716,1144
290319.5597459,711
290319.5598385,735
290319.5599654,722
290319.5600775,750
290319.5665784,691
290324.6316234,942
290324.6317131,978
290324.6318101,818
290324.6319187,852
290324.6319884,851
290324.6320721,888
290329.7003955,759
290329.7005287,805
290329.7006546,931
290329.7007514,1023
290329.7008385,970
290334.4704442,1007
290334.4706045,965
290334.4707515,1021
290334.470847,970
290334.4709387,891
290334.4710464,948
290339.6355827,976
290339.635722,1021
290339.6358325,972
290339.6359695,1011
290339.6360698,1063
290344.7071078,1037
290344.7073024,921
290344.7074008,942
290344.7075518,953
290344.7076336,866
290349.6021841,1034
290349.6022679,899
290349.6023307,956
290349.6024403,1001
290349.6024922,918
290354.509504,904
290354.5096993,924
290354.5098182,967
290354.5099393,882
290354.5100131,885
290354.5100764,968
290359.6188766,956
