Timestamp,EventType,KeyCode,Char
357227.6740392,KeyUp,75,k
357227.7439098,KeyUp,79,o
357227.8085534,KeyDown,83,s
357227.9226947,KeyDown,79,o
357227.9317522,KeyDown,73,i
357227.9417123,KeyUp,83,s
357227.981734,KeyUp,79,o
357227.9919984,KeyUp,73,i
357228.479322,KeyDown,8,backspace
357228.5788089,KeyUp,8,backspace
357228.8528781,KeyDown,8,backspace
357228.9420675,KeyUp,8,backspace
357229.2323122,KeyDown,83,s
357229.3561425,KeyUp,83,s
357229.4057485,KeyDown,73,i
357229.4947635,KeyUp,73,i
357229.5237544,KeyDown,90,z
357229.6539222,KeyDown,85,u
357229.6627425,KeyUp,90,z
357229.7176979,KeyUp,85,u
357230.0708323,KeyDown,84,t
357230.1560003,KeyUp,84,t
357230.1699438,KeyDown,85,u
357230.2455263,KeyUp,85,u
357230.2950284,KeyDown,32,space
357230.3849636,KeyDown,13,enter
357230.434543,KeyUp,32,space
357230.4890667,KeyUp,13,enter
357231.0413622,KeyDown,65,a
357231.1853139,KeyUp,65,a
357231.3500686,KeyDown,84,t
357231.4585212,KeyUp,84,t
357231.5139093,KeyDown,65,a
357231.6630431,KeyUp,65,a
357231.7475773,KeyDown,84,t
357231.8020828,KeyDown,65,a
357231.896565,KeyUp,84,t
357231.9558422,KeyUp,65,a
357232.2649236,KeyDown,77,m
357232.3355236,KeyDown,69,e
357232.3649951,KeyUp,77,m
357232.4336634,KeyUp,69,e
357232.5330573,KeyDown,82,r
357232.6031074,KeyDown,65,a
357232.7118661,KeyUp,82,r
357232.7527213,KeyUp,65,a
357232.8214242,KeyDown,82,r
357232.896483,KeyDown,69,e
357232.9863405,KeyUp,82,r
357233.020544,KeyUp,69,e
357233.0901078,KeyDown,84,t
357233.1408867,KeyDown,69,e
357233.2057074,KeyUp,84,t
357233.2592452,KeyUp,69,e
357233.3593288,KeyDown,73,i
357233.4439254,KeyUp,73,i
357233.7370269,KeyDown,77,m
357233.7667558,KeyDown,65,a
357233.8213244,KeyUp,77,m
357233.9013308,KeyUp,65,a
357234.0010423,KeyDown,83,s
357234.0204325,KeyDown,85,u
357234.1148853,KeyUp,83,s
357234.1245242,KeyUp,85,u
357234.1589682,KeyDown,32,space
357234.2398369,KeyUp,32,space
357235.3348828,KeyDown,190,.
357235.4236451,KeyUp,190,.
357235.5572692,KeyDown,13,enter
357235.6364748,KeyUp,13,enter
357235.9859547,KeyDown,65,a
357236.1399404,KeyUp,65,a
357236.2286226,KeyDown,82,r
357236.3195376,KeyDown,65,a
357236.4330898,KeyUp,82,r
357236.4574875,KeyUp,65,a
357236.6110915,KeyDown,8,backspace
357236.725677,KeyUp,8,backspace
357237.0953879,KeyDown,84,t
357237.1939356,KeyDown,65,a
357237.2733197,KeyUp,84,t
357237.3093812,KeyUp,65,a
357237.3663039,KeyDown,84,t
357237.4272525,KeyDown,65,a
357237.5218529,KeyUp,84,t
357237.5869502,KeyUp,65,a
357237.9052821,KeyDown,77,m
357238.029748,KeyDown,69,e
357238.0487964,KeyUp,77,m
357238.1735048,KeyUp,69,e
357238.5269101,KeyDown,65,a
357238.6556381,KeyDown,82,r
357238.7152387,KeyUp,65,a
357238.8546988,KeyUp,82,r
357239.2200267,KeyDown,8,backspace
357239.3132261,KeyUp,8,backspace
357239.3874366,KeyDown,8,backspace
357239.4609925,KeyUp,8,backspace
357239.9545572,KeyDown,82,r
357240.0485589,KeyDown,65,a
357240.1629898,KeyUp,82,r
357240.1730277,KeyUp,65,a
357240.4613362,KeyDown,82,r
